"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","correct","responses","bonus"
"50486","consent.html","external-html","0","51662","0.0-0.0","","","","","","","","","","",""
"97032","","instructions","1","148696","0.0-1.0","[{""page_index"":0,""viewing_time"":7125},{""page_index"":1,""viewing_time"":6657},{""page_index"":2,""viewing_time"":2874},{""page_index"":3,""viewing_time"":12277},{""page_index"":4,""viewing_time"":7424},{""page_index"":5,""viewing_time"":2969},{""page_index"":6,""viewing_time"":22649},{""page_index"":5,""viewing_time"":8774},{""page_index"":4,""viewing_time"":2337},{""page_index"":3,""viewing_time"":17759},{""page_index"":4,""viewing_time"":1585},{""page_index"":5,""viewing_time"":1399},{""page_index"":6,""viewing_time"":3202}]","","","","","","","","","",""
"8749","","instructions","2","157447","0.0-2.0","[{""page_index"":0,""viewing_time"":8748}]","","","","","","","","","",""
"1757","","instructions","3","159206","0.0-3.0","[{""page_index"":0,""viewing_time"":1757}]","","","","","","","","","",""
"1743","","image-keyboard-response","4","160950","0.0-4.0","","img/set1/S1.jpg","68","1","random","83","random,structured_load,structured_normal,structured_incentive","3,4,2,1,2,3","false","",""
"null","","html-keyboard-response","5","161301","0.0-5.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","6","161513","0.0-6.0","","","null","","","","","","","",""
"1273","","image-keyboard-response","7","162788","0.0-7.0","","img/set1/S2.jpg","72","2","random","68","random,structured_load,structured_normal,structured_incentive","3,4,2,1,2,3","false","",""
"null","","html-keyboard-response","8","163144","0.0-8.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","9","163345","0.0-9.0","","","null","","","","","","","",""
"925","","image-keyboard-response","10","164283","0.0-10.0","","img/set1/S3.jpg","83","3","random","72","random,structured_load,structured_normal,structured_incentive","3,4,2,1,2,3","false","",""
"null","","html-keyboard-response","11","164649","0.0-11.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","12","164857","0.0-12.0","","","null","","","","","","","",""
"540","","image-keyboard-response","13","165398","0.0-13.0","","img/set1/S2.jpg","72","2","random","68","random,structured_load,structured_normal,structured_incentive","3,4,2,1,2,3","false","",""
"null","","html-keyboard-response","14","165750","0.0-14.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","15","165951","0.0-15.0","","","null","","","","","","","",""
"647","","image-keyboard-response","16","166613","0.0-16.0","","img/set1/S4.jpg","83","4","random","74","random,structured_load,structured_normal,structured_incentive","3,4,2,1,2,3","false","",""
"null","","html-keyboard-response","17","166976","0.0-17.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","18","167214","0.0-18.0","","","null","","","","","","","",""
"895","","image-keyboard-response","19","168114","0.0-19.0","","img/set1/S3.jpg","68","3","random","72","random,structured_load,structured_normal,structured_incentive","3,4,2,1,2,3","false","",""
"null","","html-keyboard-response","20","168467","0.0-20.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","21","168670","0.0-21.0","","","null","","","","","","","",""
"556","","image-keyboard-response","22","169232","0.0-22.0","","img/set1/S3.jpg","83","3","random","72","random,structured_load,structured_normal,structured_incentive","3,4,2,1,2,3","false","",""
"null","","html-keyboard-response","23","169592","0.0-23.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","24","169807","0.0-24.0","","","null","","","","","","","",""
"null","","image-keyboard-response","25","172316","0.0-25.0","","img/set1/S3.jpg","null","3","random","72","random,structured_load,structured_normal,structured_incentive","3,4,2,1,2,3","false","",""
"null","","html-keyboard-response","26","172670","0.0-26.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","27","172873","0.0-27.0","","","null","","","","","","","",""
"1208","","image-keyboard-response","28","174093","0.0-28.0","","img/set1/S4.jpg","72","4","random","74","random,structured_load,structured_normal,structured_incentive","3,4,2,1,2,3","false","",""
"null","","html-keyboard-response","29","174457","0.0-29.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","30","174681","0.0-30.0","","","null","","","","","","","",""
"1083","","image-keyboard-response","31","175807","0.0-31.0","","img/set1/S2.jpg","68","2","random","68","random,structured_load,structured_normal,structured_incentive","3,4,2,1,2,3","true","",""
"null","","html-keyboard-response","32","176160","0.0-32.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","33","176373","0.0-33.0","","","null","","","","","","","",""
"753","","image-keyboard-response","34","177127","0.0-34.0","","img/set1/S2.jpg","72","2","random","68","random,structured_load,structured_normal,structured_incentive","3,4,2,1,2,3","false","",""
"null","","html-keyboard-response","35","177479","0.0-35.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","36","177679","0.0-36.0","","","null","","","","","","","",""
"708","","image-keyboard-response","37","178396","0.0-37.0","","img/set1/S3.jpg","83","3","random","72","random,structured_load,structured_normal,structured_incentive","3,4,2,1,2,3","false","",""
"null","","html-keyboard-response","38","178750","0.0-38.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","39","178959","0.0-39.0","","","null","","","","","","","",""
"1578","","image-keyboard-response","40","180538","0.0-40.0","","img/set1/S1.jpg","72","1","random","83","random,structured_load,structured_normal,structured_incentive","3,4,2,1,2,3","false","",""
"null","","html-keyboard-response","41","180898","0.0-41.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","42","181098","0.0-42.0","","","null","","","","","","","",""
"808","","image-keyboard-response","43","181908","0.0-43.0","","img/set1/S3.jpg","68","3","random","72","random,structured_load,structured_normal,structured_incentive","3,4,2,1,2,3","false","",""
"null","","html-keyboard-response","44","182260","0.0-44.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
