"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","correct","responses","question_order","bonus"
"146958.59999996424","consent.html","external-html","0","147231","0.0-0.0","","","","","","","","","","","",""
"118484","","instructions","1","265719","0.0-1.0","[{""page_index"":0,""viewing_time"":4309.299999952316},{""page_index"":1,""viewing_time"":17423.700000047684},{""page_index"":2,""viewing_time"":8895.599999964237},{""page_index"":3,""viewing_time"":25623.400000035763},{""page_index"":4,""viewing_time"":20527.899999976158},{""page_index"":5,""viewing_time"":17368},{""page_index"":6,""viewing_time"":24334.80000001192}]","","","","","","","","","","",""
"18845.80000001192","","instructions","2","284568","0.0-2.0","[{""page_index"":0,""viewing_time"":18845.400000035763}]","","","","","","","","","","",""
"7180","","instructions","3","291749","0.0-3.0","[{""page_index"":0,""viewing_time"":7179.800000011921}]","","","","","","","","","","",""
"null","","image-keyboard-response","4","294254","0.0-4.0","","img/set1/S4.jpg","null","4","random","74","random,structured_load,structured_incentive,structured_normal","2,1,3,4,2,3","false","","",""
"null","","html-keyboard-response","5","294615","0.0-5.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","6","294818","0.0-6.0","","","null","","","","","","","","",""
"1563.800000011921","","image-keyboard-response","7","296386","0.0-7.0","","img/set1/S1.jpg","72","1","random","83","random,structured_load,structured_incentive,structured_normal","2,1,3,4,2,3","false","","",""
"null","","html-keyboard-response","8","296739","0.0-8.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","9","296942","0.0-9.0","","","null","","","","","","","","",""
"1025.5","","image-keyboard-response","10","297970","0.0-10.0","","img/set1/S3.jpg","83","3","random","72","random,structured_load,structured_incentive,structured_normal","2,1,3,4,2,3","false","","",""
"null","","html-keyboard-response","11","298323","0.0-11.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","12","298525","0.0-12.0","","","null","","","","","","","","",""
"742","","image-keyboard-response","13","299269","0.0-13.0","","img/set1/S2.jpg","68","2","random","68","random,structured_load,structured_incentive,structured_normal","2,1,3,4,2,3","true","","",""
"null","","html-keyboard-response","14","299623","0.0-14.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","15","299825","0.0-15.0","","","null","","","","","","","","",""
"1138.1000000238419","","image-keyboard-response","16","300965","0.0-16.0","","img/set1/S2.jpg","68","2","random","68","random,structured_load,structured_incentive,structured_normal","2,1,3,4,2,3","true","","",""
"null","","html-keyboard-response","17","301319","0.0-17.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","18","301528","0.0-18.0","","","null","","","","","","","","",""
"786.9000000357628","","image-keyboard-response","19","302317","0.0-19.0","","img/set1/S2.jpg","68","2","random","68","random,structured_load,structured_incentive,structured_normal","2,1,3,4,2,3","true","","",""
"null","","html-keyboard-response","20","302671","0.0-20.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","21","302874","0.0-21.0","","","null","","","","","","","","",""
"850.1999999880791","","image-keyboard-response","22","303725","0.0-22.0","","img/set1/S3.jpg","72","3","random","72","random,structured_load,structured_incentive,structured_normal","2,1,3,4,2,3","true","","",""
"null","","html-keyboard-response","23","304078","0.0-23.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","24","304280","0.0-24.0","","","null","","","","","","","","",""
"980.3000000119209","","image-keyboard-response","25","305261","0.0-25.0","","img/set1/S1.jpg","83","1","random","83","random,structured_load,structured_incentive,structured_normal","2,1,3,4,2,3","true","","",""
"null","","html-keyboard-response","26","305617","0.0-26.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","27","305820","0.0-27.0","","","null","","","","","","","","",""
