"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","order_freq","correct","bonus","responses"
"null","","html-keyboard-response","470","594180","0.0-470.0","","","","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","471","594382","0.0-471.0","","","","","","null","","","","","","","","",""
"39","","image-keyboard-response","472","594423","0.0-472.0","","","","","img/set1/S4.jpg","83","4","random","74","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","473","594775","0.0-473.0","","","","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","474","594977","0.0-474.0","","","","","","null","","","","","","","","",""
"49","","image-keyboard-response","475","595027","0.0-475.0","","","","","img/set1/S1.jpg","83","1","random","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","true","",""
"null","","html-keyboard-response","476","595379","0.0-476.0","","","","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","477","595581","0.0-477.0","","","","","","null","","","","","","","","",""
"165","","image-keyboard-response","478","595747","0.0-478.0","","","","","img/set1/S3.jpg","83","3","random","72","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","479","596099","0.0-479.0","","","","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","480","596301","0.0-480.0","","","","","","null","","","","","","","","",""
"21","","image-keyboard-response","481","596323","0.0-481.0","","","","","img/set1/S4.jpg","83","4","random","74","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","482","596676","0.0-482.0","","","","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","483","596878","0.0-483.0","","","","","","null","","","","","","","","",""
"3","","image-keyboard-response","484","596883","0.0-484.0","","","","","img/set1/S4.jpg","83","4","random","74","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","485","597236","0.0-485.0","","","","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","486","597438","0.0-486.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","487","599939","0.0-487.0","","","","","img/set1/S2.jpg","null","2","random","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","488","600291","0.0-488.0","","","","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","489","600494","0.0-489.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","490","602996","0.0-490.0","","","","","img/set1/S2.jpg","null","2","random","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","491","603354","0.0-491.0","","","","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","492","603556","0.0-492.0","","","","","","null","","","","","","","","",""
"null","","image-keyboard-response","493","606062","0.0-493.0","","","","","img/set1/S2.jpg","null","2","random","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","494","606415","0.0-494.0","","","","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","495","606617","0.0-495.0","","","","","","null","","","","","","","","",""
"97","","image-keyboard-response","496","606716","0.0-496.0","","","","","img/set1/S3.jpg","83","3","random","72","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","497","607069","0.0-497.0","","","","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","498","607271","0.0-498.0","","","","","","null","","","","","","","","",""
"155","","image-keyboard-response","499","607427","0.0-499.0","","","","","img/set1/S2.jpg","83","2","random","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","500","607780","0.0-500.0","","","","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","501","607983","0.0-501.0","","","","","","null","","","","","","","","",""
"36.000000000116415","","image-keyboard-response","502","608019","0.0-502.0","","","","","img/set1/S2.jpg","83","2","random","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","503","608372","0.0-503.0","","","","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","504","608574","0.0-504.0","","","","","","null","","","","","","","","",""
"12","","image-keyboard-response","505","608587","0.0-505.0","","","","","img/set1/S4.jpg","83","4","random","74","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","506","608940","0.0-506.0","","","","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","507","609142","0.0-507.0","","","","","","null","","","","","","","","",""
"45","","image-keyboard-response","508","609189","0.0-508.0","","","","","img/set1/S1.jpg","83","1","random","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","true","",""
"null","","html-keyboard-response","509","609541","0.0-509.0","","","","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","510","609743","0.0-510.0","","","","","","null","","","","","","","","",""
"384","","image-keyboard-response","511","610129","0.0-511.0","","","","","img/set1/S3.jpg","83","3","random","72","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","512","610481","0.0-512.0","","","","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","513","610683","0.0-513.0","","","","","","null","","","","","","","","",""
"40","","image-keyboard-response","514","610724","0.0-514.0","","","","","img/set1/S4.jpg","83","4","random","74","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","515","611076","0.0-515.0","","","","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","516","611279","0.0-516.0","","","","","","null","","","","","","","","",""
"155","","image-keyboard-response","517","611435","0.0-517.0","","","","","img/set1/S2.jpg","83","2","random","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","518","611788","0.0-518.0","","","","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","519","611990","0.0-519.0","","","","","","null","","","","","","","","",""
"132","","image-keyboard-response","520","612123","0.0-520.0","","","","","img/set1/S2.jpg","83","2","random","68","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","521","612476","0.0-521.0","","","","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","522","612678","0.0-522.0","","","","","","null","","","","","","","","",""
"348","","image-keyboard-response","523","613027","0.0-523.0","","","","","img/set1/S4.jpg","83","4","random","74","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","524","613380","0.0-524.0","","","","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","525","613583","0.0-525.0","","","","","","null","","","","","","","","",""
"100","","image-keyboard-response","526","613683","0.0-526.0","","","","","img/set1/S1.jpg","83","1","random","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","true","",""
"null","","html-keyboard-response","527","614036","0.0-527.0","","","","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","528","614238","0.0-528.0","","","","","","null","","","","","","","","",""
"316","","image-keyboard-response","529","614555","0.0-529.0","","","","","img/set1/S1.jpg","83","1","random","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","true","",""
"null","","html-keyboard-response","530","614908","0.0-530.0","","","","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","531","615110","0.0-531.0","","","","","","null","","","","","","","","",""
"156","","image-keyboard-response","532","615267","0.0-532.0","","","","","img/set1/S1.jpg","83","1","random","83","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","true","",""
"null","","html-keyboard-response","533","615620","0.0-533.0","","","","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","534","615822","0.0-534.0","","","","","","null","","","","","","","","",""
"68","","image-keyboard-response","535","615891","0.0-535.0","","","","","img/set1/S4.jpg","83","4","random","74","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","536","616244","0.0-536.0","","","","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","537","616446","0.0-537.0","","","","","","null","","","","","","","","",""
"3.9999999998835847","","image-keyboard-response","538","616451","0.0-538.0","","","","","img/set1/S3.jpg","83","3","random","72","random,structured_normal,structured_incentive","2,3,1,2","2,1,4,3","false","",""
"null","","html-keyboard-response","539","616804","0.0-539.0","","","","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","540","617006","0.0-540.0","","","","","","null","","","","","","","","",""
