"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","order_freq","correct","responses","question_order","bonus"
"296.30000000074506","","image-keyboard-response","469","3740553","0.0-469.0","","img/set2/S1.jpg","72","1","random","83","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","470","3740906","0.0-470.0","","<img src=""img/set2/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","471","3741108","0.0-471.0","","","null","","","","","","","","","",""
"271.69999999925494","","image-keyboard-response","472","3741382","0.0-472.0","","img/set2/S1.jpg","83","1","random","83","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","473","3741737","0.0-473.0","","<img src=""img/set2/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","474","3741938","0.0-474.0","","","null","","","","","","","","","",""
"1638.199999999255","","image-keyboard-response","475","3743580","0.0-475.0","","img/set2/S4.jpg","74","4","random","74","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","476","3743933","0.0-476.0","","<img src=""img/set2/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","477","3744136","0.0-477.0","","","null","","","","","","","","","",""
"1617.7999999970198","","image-keyboard-response","478","3745756","0.0-478.0","","img/set2/S1.jpg","83","1","random","83","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","479","3746110","0.0-479.0","","<img src=""img/set2/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","480","3746311","0.0-480.0","","","null","","","","","","","","","",""
"505.5999999977648","","image-keyboard-response","481","3746820","0.0-481.0","","img/set2/S2.jpg","74","2","random","68","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","482","3747174","0.0-482.0","","<img src=""img/set2/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","483","3747376","0.0-483.0","","","null","","","","","","","","","",""
"688.4000000022352","","image-keyboard-response","484","3748066","0.0-484.0","","img/set2/S4.jpg","68","4","random","74","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","485","3748420","0.0-485.0","","<img src=""img/set2/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","486","3748622","0.0-486.0","","","null","","","","","","","","","",""
"700.8000000007451","","image-keyboard-response","487","3749325","0.0-487.0","","img/set2/S4.jpg","72","4","random","74","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","488","3749679","0.0-488.0","","<img src=""img/set2/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","489","3749881","0.0-489.0","","","null","","","","","","","","","",""
"617.8000000007451","","image-keyboard-response","490","3750501","0.0-490.0","","img/set2/S4.jpg","74","4","random","74","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","491","3750855","0.0-491.0","","<img src=""img/set2/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","492","3751057","0.0-492.0","","","null","","","","","","","","","",""
"748.1000000014901","","image-keyboard-response","493","3751807","0.0-493.0","","img/set2/S1.jpg","83","1","random","83","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","494","3752161","0.0-494.0","","<img src=""img/set2/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","495","3752363","0.0-495.0","","","null","","","","","","","","","",""
"851.7999999970198","","image-keyboard-response","496","3753217","0.0-496.0","","img/set2/S3.jpg","72","3","random","72","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","497","3753571","0.0-497.0","","<img src=""img/set2/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","498","3753773","0.0-498.0","","","null","","","","","","","","","",""
"550.6999999992549","","image-keyboard-response","499","3754326","0.0-499.0","","img/set2/S2.jpg","68","2","random","68","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","500","3754680","0.0-500.0","","<img src=""img/set2/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","501","3754882","0.0-501.0","","","null","","","","","","","","","",""
"549.8000000007451","","image-keyboard-response","502","3755434","0.0-502.0","","img/set2/S1.jpg","83","1","random","83","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","503","3755788","0.0-503.0","","<img src=""img/set2/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","504","3755990","0.0-504.0","","","null","","","","","","","","","",""
"600.1000000014901","","image-keyboard-response","505","3756592","0.0-505.0","","img/set2/S1.jpg","83","1","random","83","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","506","3756946","0.0-506.0","","<img src=""img/set2/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","507","3757148","0.0-507.0","","","null","","","","","","","","","",""
"777.6999999992549","","image-keyboard-response","508","3757928","0.0-508.0","","img/set2/S2.jpg","72","2","random","68","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","509","3758282","0.0-509.0","","<img src=""img/set2/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","510","3758484","0.0-510.0","","","null","","","","","","","","","",""
"594.6000000014901","","image-keyboard-response","511","3759081","0.0-511.0","","img/set2/S2.jpg","68","2","random","68","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
