"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","order_freq","correct","responses","question_order","bonus"
"null","","html-keyboard-response","1550","1502700","0.0-1550.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","","null","","","","","","","","","",""
"675","","image-keyboard-response","1551","1503377","0.0-1551.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","img/set4/S1.jpg","83","1","structured_normal","83","random,structured_incentive,structured_load,structured_normal","2,3,1,2,4,2","2,4,3,1","true","","",""
"null","","html-keyboard-response","1552","1503736","0.0-1552.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","<img src=""img/set4/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","1553","1503944","0.0-1553.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","","null","","","","","","","","","",""
"405","","image-keyboard-response","1554","1504352","0.0-1554.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","img/set4/S1.jpg","83","1","structured_normal","83","random,structured_incentive,structured_load,structured_normal","2,3,1,2,4,2","2,4,3,1","true","","",""
"null","","html-keyboard-response","1555","1504710","0.0-1555.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","<img src=""img/set4/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","1556","1504917","0.0-1556.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","","null","","","","","","","","","",""
"347","","image-keyboard-response","1557","1505267","0.0-1557.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","img/set4/S1.jpg","83","1","structured_normal","83","random,structured_incentive,structured_load,structured_normal","2,3,1,2,4,2","2,4,3,1","true","","",""
"null","","html-keyboard-response","1558","1505625","0.0-1558.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","<img src=""img/set4/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","1559","1505829","0.0-1559.0","3Z7ISHFUH1HQY1S4XDUPO6YDUY7Z80","A1PLQGQ95NICAF","3G9UA71JVVGUCOKNEKUVXTI6SA17JG","","","null","","","","","","","","","",""
