"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","correct","responses","question_order","bonus"
"null","","html-keyboard-response","1317","691334","0.0-1317.0","","","null","","","","","","","","",""
"384","","image-keyboard-response","1318","691719","0.0-1318.0","","img/set4/S1.jpg","83","1","structured_load","83","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1319","692080","0.0-1319.0","","<img src=""img/set4/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1320","692283","0.0-1320.0","","","null","","","","","","","","",""
"267.70000000298023","","image-keyboard-response","1321","692552","0.0-1321.0","","img/set4/S1.jpg","83","1","structured_load","83","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1322","692909","0.0-1322.0","","<img src=""img/set4/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1323","693112","0.0-1323.0","","","null","","","","","","","","",""
"267.8999999985099","","image-keyboard-response","1324","693380","0.0-1324.0","","img/set4/S1.jpg","83","1","structured_load","83","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1325","693735","0.0-1325.0","","<img src=""img/set4/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1326","693936","0.0-1326.0","","","null","","","","","","","","",""
"287.5","","image-keyboard-response","1327","694225","0.0-1327.0","","img/set4/S1.jpg","83","1","structured_load","83","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1328","694576","0.0-1328.0","","<img src=""img/set4/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1329","694778","0.0-1329.0","","","null","","","","","","","","",""
"713.7999999970198","","image-keyboard-response","1330","695493","0.0-1330.0","","img/set4/S4.jpg","74","4","structured_load","74","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1331","695854","0.0-1331.0","","<img src=""img/set4/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1332","696056","0.0-1332.0","","","null","","","","","","","","",""
"460.6000000014901","","image-keyboard-response","1333","696517","0.0-1333.0","","img/set4/S4.jpg","74","4","structured_load","74","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1334","696883","0.0-1334.0","","<img src=""img/set4/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1335","697088","0.0-1335.0","","","null","","","","","","","","",""
"493.1000000014901","","image-keyboard-response","1336","697582","0.0-1336.0","","img/set4/S1.jpg","83","1","structured_load","83","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1337","697948","0.0-1337.0","","<img src=""img/set4/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1338","698149","0.0-1338.0","","","null","","","","","","","","",""
"598.2000000029802","","image-keyboard-response","1339","698749","0.0-1339.0","","img/set4/S2.jpg","68","2","structured_load","68","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
