"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","correct","responses","question_order","bonus"
"2491","consent.html","external-html","0","2534","0.0-0.0","","","","","","","","","","","",""
"2551469.299999982","","instructions","1","2554005","0.0-1.0","[{""page_index"":0,""viewing_time"":3641.2999999821186},{""page_index"":1,""viewing_time"":15573.09999999404},{""page_index"":2,""viewing_time"":4936.800000011921},{""page_index"":1,""viewing_time"":19366.19999998808},{""page_index"":2,""viewing_time"":19703.600000023842},{""page_index"":3,""viewing_time"":2443350.299999982},{""page_index"":4,""viewing_time"":8897.59999999404},{""page_index"":5,""viewing_time"":20815.40000000596},{""page_index"":6,""viewing_time"":15184.40000000596}]","","","","","","","","","","",""
"30104.19999998808","","instructions","2","2584109","0.0-2.0","[{""page_index"":0,""viewing_time"":30104}]","","","","","","","","","","",""
"29334.59999999404","","instructions","3","2613444","0.0-3.0","[{""page_index"":0,""viewing_time"":21511.59999999404},{""page_index"":1,""viewing_time"":7822.800000011921}]","","","","","","","","","","",""
"1301.300000011921","","image-keyboard-response","4","2614746","0.0-4.0","","img/set1/S1.jpg","83","1","structured_load","83","structured_load,structured_normal,random,structured_incentive","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","5","2615100","0.0-5.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","6","2615308","0.0-6.0","","","null","","","","","","","","",""
"1526.4000000059605","","image-keyboard-response","7","2616835","0.0-7.0","","img/set1/S2.jpg","74","2","structured_load","68","structured_load,structured_normal,random,structured_incentive","3,4,2,1,2,3","false","","",""
"null","","html-keyboard-response","8","2617187","0.0-8.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","9","2617393","0.0-9.0","","","null","","","","","","","","",""
"492.59999999403954","","image-keyboard-response","10","2617886","0.0-10.0","","img/set1/S3.jpg","83","3","structured_load","72","structured_load,structured_normal,random,structured_incentive","3,4,2,1,2,3","false","","",""
"null","","html-keyboard-response","11","2618252","0.0-11.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","12","2618460","0.0-12.0","","","null","","","","","","","","",""
