"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","correct","responses","bonus"
"18392.30000001192","consent.html","external-html","0","18464","0.0-0.0","","","","","","","","","","",""
"75229.59999996424","","instructions","1","93696","0.0-1.0","[{""page_index"":0,""viewing_time"":3621.7999999523163},{""page_index"":1,""viewing_time"":5855.400000035763},{""page_index"":2,""viewing_time"":10384},{""page_index"":3,""viewing_time"":19551.899999976158},{""page_index"":4,""viewing_time"":6415.699999988079},{""page_index"":5,""viewing_time"":19072.200000047684},{""page_index"":6,""viewing_time"":10327.899999976158}]","","","","","","","","","",""
"10813.800000011921","","instructions","2","104510","0.0-2.0","[{""page_index"":0,""viewing_time"":10813.600000023842}]","","","","","","","","","",""
"5095.199999988079","","instructions","3","109606","0.0-3.0","[{""page_index"":0,""viewing_time"":5095}]","","","","","","","","","",""
"null","","image-keyboard-response","4","112111","0.0-4.0","","img/set1/S2.jpg","null","2","random","68","random,structured_load,structured_incentive,structured_normal","2,1,2,3,3,4","false","",""
"null","","html-keyboard-response","5","112468","0.0-5.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","6","112672","0.0-6.0","","","null","","","","","","","",""
"680.6999999880791","","image-keyboard-response","7","113358","0.0-7.0","","img/set1/S2.jpg","83","2","random","68","random,structured_load,structured_incentive,structured_normal","2,1,2,3,3,4","false","",""
"null","","html-keyboard-response","8","113714","0.0-8.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","9","113916","0.0-9.0","","","null","","","","","","","",""
"1610.3999999761581","","image-keyboard-response","10","115529","0.0-10.0","","img/set1/S3.jpg","68","3","random","72","random,structured_load,structured_incentive,structured_normal","2,1,2,3,3,4","false","",""
"null","","html-keyboard-response","11","115884","0.0-11.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","12","116088","0.0-12.0","","","null","","","","","","","",""
"1716.199999988079","","image-keyboard-response","13","117806","0.0-13.0","","img/set1/S4.jpg","72","4","random","74","random,structured_load,structured_incentive,structured_normal","2,1,2,3,3,4","false","",""
"null","","html-keyboard-response","14","118159","0.0-14.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","15","118361","0.0-15.0","","","null","","","","","","","",""
"1253.199999988079","","image-keyboard-response","16","119617","0.0-16.0","","img/set1/S4.jpg","83","4","random","74","random,structured_load,structured_incentive,structured_normal","2,1,2,3,3,4","false","",""
"null","","html-keyboard-response","17","119971","0.0-17.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","18","120173","0.0-18.0","","","null","","","","","","","",""
"1631.699999988079","","image-keyboard-response","19","121806","0.0-19.0","","img/set1/S4.jpg","74","4","random","74","random,structured_load,structured_incentive,structured_normal","2,1,2,3,3,4","true","",""
"null","","html-keyboard-response","20","122159","0.0-20.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","21","122362","0.0-21.0","","","null","","","","","","","",""
