"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","order_freq","correct","responses","question_order","bonus"
"8984146.400000006","consent.html","external-html","0","8986474","0.0-0.0","","","","","","","","","","","","",""
"74493.39999997616","","instructions","1","9060971","0.0-1.0","[{""page_index"":0,""viewing_time"":6372.5999999940395},{""page_index"":1,""viewing_time"":8573.299999982119},{""page_index"":2,""viewing_time"":15444.200000017881},{""page_index"":3,""viewing_time"":16071.799999982119},{""page_index"":4,""viewing_time"":9280.5},{""page_index"":5,""viewing_time"":12915.700000017881},{""page_index"":6,""viewing_time"":5834}]","","","","","","","","","","","",""
"11959.300000011921","","instructions","2","9072931","0.0-2.0","[{""page_index"":0,""viewing_time"":11959}]","","","","","","","","","","","",""
"6412.199999988079","","instructions","3","9079345","0.0-3.0","[{""page_index"":0,""viewing_time"":6411.799999982119}]","","","","","","","","","","","",""
"null","","image-keyboard-response","4","9081848","0.0-4.0","","img/set1/S1.jpg","null","1","random","83","random,structured_incentive,structured_normal,structured_load","3,4,2,1,2,3","3,1,2,4","false","","",""
"null","","html-keyboard-response","5","9082202","0.0-5.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","6","9082412","0.0-6.0","","","null","","","","","","","","","",""
"null","","image-keyboard-response","7","9084919","0.0-7.0","","img/set1/S2.jpg","null","2","random","68","random,structured_incentive,structured_normal,structured_load","3,4,2,1,2,3","3,1,2,4","false","","",""
"null","","html-keyboard-response","8","9085287","0.0-8.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","9","9085490","0.0-9.0","","","null","","","","","","","","","",""
"null","","image-keyboard-response","10","9088007","0.0-10.0","","img/set1/S3.jpg","null","3","random","72","random,structured_incentive,structured_normal,structured_load","3,4,2,1,2,3","3,1,2,4","false","","",""
"null","","html-keyboard-response","11","9088370","0.0-11.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","12","9088572","0.0-12.0","","","null","","","","","","","","","",""
"null","","image-keyboard-response","13","9091089","0.0-13.0","","img/set1/S1.jpg","null","1","random","83","random,structured_incentive,structured_normal,structured_load","3,4,2,1,2,3","3,1,2,4","false","","",""
"null","","html-keyboard-response","14","9091450","0.0-14.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","15","9091656","0.0-15.0","","","null","","","","","","","","","",""
"null","","image-keyboard-response","16","9094169","0.0-16.0","","img/set1/S3.jpg","null","3","random","72","random,structured_incentive,structured_normal,structured_load","3,4,2,1,2,3","3,1,2,4","false","","",""
"null","","html-keyboard-response","17","9094533","0.0-17.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","18","9094739","0.0-18.0","","","null","","","","","","","","","",""
"null","","image-keyboard-response","19","9097247","0.0-19.0","","img/set1/S4.jpg","null","4","random","74","random,structured_incentive,structured_normal,structured_load","3,4,2,1,2,3","3,1,2,4","false","","",""
"null","","html-keyboard-response","20","9097614","0.0-20.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","21","9097824","0.0-21.0","","","null","","","","","","","","","",""
"null","","image-keyboard-response","22","9100338","0.0-22.0","","img/set1/S4.jpg","null","4","random","74","random,structured_incentive,structured_normal,structured_load","3,4,2,1,2,3","3,1,2,4","false","","",""
"null","","html-keyboard-response","23","9100701","0.0-23.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","24","9100902","0.0-24.0","","","null","","","","","","","","","",""
"null","","image-keyboard-response","25","9103414","0.0-25.0","","img/set1/S3.jpg","null","3","random","72","random,structured_incentive,structured_normal,structured_load","3,4,2,1,2,3","3,1,2,4","false","","",""
"null","","html-keyboard-response","26","9103766","0.0-26.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","27","9103970","0.0-27.0","","","null","","","","","","","","","",""
"1499.5999999940395","","image-keyboard-response","28","9105471","0.0-28.0","","img/set1/S2.jpg","72","2","random","68","random,structured_incentive,structured_normal,structured_load","3,4,2,1,2,3","3,1,2,4","false","","",""
"null","","html-keyboard-response","29","9105826","0.0-29.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","30","9106035","0.0-30.0","","","null","","","","","","","","","",""
"1612.2999999821186","","image-keyboard-response","31","9107648","0.0-31.0","","img/set1/S2.jpg","72","2","random","68","random,structured_incentive,structured_normal,structured_load","3,4,2,1,2,3","3,1,2,4","false","","",""
"null","","html-keyboard-response","32","9108015","0.0-32.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","33","9108226","0.0-33.0","","","null","","","","","","","","","",""
"null","","image-keyboard-response","34","9110739","0.0-34.0","","img/set1/S1.jpg","null","1","random","83","random,structured_incentive,structured_normal,structured_load","3,4,2,1,2,3","3,1,2,4","false","","",""
"null","","html-keyboard-response","35","9111091","0.0-35.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","36","9111306","0.0-36.0","","","null","","","","","","","","","",""
"null","","image-keyboard-response","37","9113819","0.0-37.0","","img/set1/S4.jpg","null","4","random","74","random,structured_incentive,structured_normal,structured_load","3,4,2,1,2,3","3,1,2,4","false","","",""
"null","","html-keyboard-response","38","9114182","0.0-38.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","39","9114385","0.0-39.0","","","null","","","","","","","","","",""
"null","","image-keyboard-response","40","9116891","0.0-40.0","","img/set1/S3.jpg","null","3","random","72","random,structured_incentive,structured_normal,structured_load","3,4,2,1,2,3","3,1,2,4","false","","",""
"null","","html-keyboard-response","41","9117254","0.0-41.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","42","9117459","0.0-42.0","","","null","","","","","","","","","",""
"null","","image-keyboard-response","43","9119967","0.0-43.0","","img/set1/S3.jpg","null","3","random","72","random,structured_incentive,structured_normal,structured_load","3,4,2,1,2,3","3,1,2,4","false","","",""
"null","","html-keyboard-response","44","9120329","0.0-44.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","45","9120533","0.0-45.0","","","null","","","","","","","","","",""
"null","","image-keyboard-response","46","9123045","0.0-46.0","","img/set1/S1.jpg","null","1","random","83","random,structured_incentive,structured_normal,structured_load","3,4,2,1,2,3","3,1,2,4","false","","",""
"null","","html-keyboard-response","47","9123408","0.0-47.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","48","9123612","0.0-48.0","","","null","","","","","","","","","",""
"null","","image-keyboard-response","49","9126127","0.0-49.0","","img/set1/S4.jpg","null","4","random","74","random,structured_incentive,structured_normal,structured_load","3,4,2,1,2,3","3,1,2,4","false","","",""
"null","","html-keyboard-response","50","9126488","0.0-50.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","51","9126689","0.0-51.0","","","null","","","","","","","","","",""
