rt,url,trial_type,trial_index,time_elapsed,internal_node_id,assignmentID,mturkID,hitID,view_history,stimulus,key_press,state,test_part,correct_response,order_block,order_chunk,correct,bonus,responses
3123.39999997616,consent.html,external-html,0,3216,0.0-0.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,,,,,,,,,,
44857.6999999285,,instructions,1,48077,0.0-1.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,"[{""page_index"":0,""viewing_time"":4136.600000023842},{""page_index"":1,""viewing_time"":4400.799999952316},{""page_index"":2,""viewing_time"":5246},{""page_index"":3,""viewing_time"":13039.899999976158},{""page_index"":4,""viewing_time"":4506.800000071526},{""page_index"":5,""viewing_time"":8451.899999976158},{""page_index"":6,""viewing_time"":5075}]",,,,,,,,,,
6757.79999995232,,instructions,2,54835,0.0-2.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,"[{""page_index"":0,""viewing_time"":6757.600000023842}]",,,,,,,,,,
3087.10000002384,,instructions,3,57923,0.0-3.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,"[{""page_index"":0,""viewing_time"":3086.899999976158}]",,,,,,,,,,
null,,image-keyboard-response,4,60430,0.0-4.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,img/set1/S4.jpg,null,4,structured_normal,74,"structured_normal,structured_incentive,random","2,3,1,2",FALSE,,
null,,html-keyboard-response,5,60791,0.0-5.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,"<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">",null,,,,,,,,
null,,html-keyboard-response,6,60993,0.0-6.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,,null,,,,,,,,
621,,image-keyboard-response,7,61616,0.0-7.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,img/set1/S4.jpg,72,4,structured_normal,74,"structured_normal,structured_incentive,random","2,3,1,2",FALSE,,
null,,html-keyboard-response,8,61969,0.0-8.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,"<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">",null,,,,,,,,
null,,html-keyboard-response,9,62173,0.0-9.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,,null,,,,,,,,
777.100000023842,,image-keyboard-response,10,62951,0.0-10.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,img/set1/S2.jpg,83,2,structured_normal,68,"structured_normal,structured_incentive,random","2,3,1,2",FALSE,,
null,,html-keyboard-response,11,63311,0.0-11.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,"<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">",null,,,,,,,,
null,,html-keyboard-response,12,63515,0.0-12.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,,null,,,,,,,,
1947.19999992847,,image-keyboard-response,13,65463,0.0-13.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,img/set1/S3.jpg,72,3,structured_normal,72,"structured_normal,structured_incentive,random","2,3,1,2",TRUE,,
null,,html-keyboard-response,14,65827,0.0-14.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,"<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">",null,,,,,,,,
null,,html-keyboard-response,15,66032,0.0-15.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,,null,,,,,,,,
1046,,image-keyboard-response,16,67078,0.0-16.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,img/set1/S2.jpg,83,2,structured_normal,68,"structured_normal,structured_incentive,random","2,3,1,2",FALSE,,
null,,html-keyboard-response,17,67432,0.0-17.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,"<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">",null,,,,,,,,
null,,html-keyboard-response,18,67636,0.0-18.0,3M1CVSFP61RV3XKS7FVQT4S4F36QAP,A1JXSNKXAXT9OU,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,,null,,,,,,,,
