"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","correct","responses","bonus"
"21291.800000000745","consent.html","external-html","0","21394","0.0-0.0","","","","","","","","","","",""
"88004.19999999925","","instructions","1","109399","0.0-1.0","[{""page_index"":0,""viewing_time"":5310.0999999996275},{""page_index"":1,""viewing_time"":10313.400000000373},{""page_index"":2,""viewing_time"":10672},{""page_index"":3,""viewing_time"":19700.099999999627},{""page_index"":4,""viewing_time"":9210.099999999627},{""page_index"":5,""viewing_time"":24843.900000000373},{""page_index"":6,""viewing_time"":7953.9000000003725}]","","","","","","","","","",""
"13019","","instructions","2","122420","0.0-2.0","[{""page_index"":0,""viewing_time"":13018.799999998882}]","","","","","","","","","",""
"6662.9000000003725","","instructions","3","129084","0.0-3.0","[{""page_index"":0,""viewing_time"":6662.699999999255}]","","","","","","","","","",""
"874.0999999996275","","image-keyboard-response","4","129960","0.0-4.0","","img/set1/S3.jpg","68","3","random","72","random,structured_load,structured_incentive,structured_normal","2,3,2,1,3,4","false","",""
"null","","html-keyboard-response","5","130323","0.0-5.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","6","130525","0.0-6.0","","","null","","","","","","","",""
"1705.199999999255","","image-keyboard-response","7","132232","0.0-7.0","","img/set1/S4.jpg","72","4","random","74","random,structured_load,structured_incentive,structured_normal","2,3,2,1,3,4","false","",""
"null","","html-keyboard-response","8","132588","0.0-8.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","9","132805","0.0-9.0","","","null","","","","","","","",""
"858.8000000007451","","image-keyboard-response","10","133665","0.0-10.0","","img/set1/S3.jpg","74","3","random","72","random,structured_load,structured_incentive,structured_normal","2,3,2,1,3,4","false","",""
"null","","html-keyboard-response","11","134025","0.0-11.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","12","134228","0.0-12.0","","","null","","","","","","","",""
"770.5","","image-keyboard-response","13","134999","0.0-13.0","","img/set1/S2.jpg","83","2","random","68","random,structured_load,structured_incentive,structured_normal","2,3,2,1,3,4","false","",""
"null","","html-keyboard-response","14","135361","0.0-14.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","15","135563","0.0-15.0","","","null","","","","","","","",""
"868","","image-keyboard-response","16","136431","0.0-16.0","","img/set1/S1.jpg","68","1","random","83","random,structured_load,structured_incentive,structured_normal","2,3,2,1,3,4","false","",""
"null","","html-keyboard-response","17","136795","0.0-17.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","18","137000","0.0-18.0","","","null","","","","","","","",""
"838.5999999996275","","image-keyboard-response","19","137840","0.0-19.0","","img/set1/S3.jpg","68","3","random","72","random,structured_load,structured_incentive,structured_normal","2,3,2,1,3,4","false","",""
"null","","html-keyboard-response","20","138204","0.0-20.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","21","138406","0.0-21.0","","","null","","","","","","","",""
"1208.4000000003725","","image-keyboard-response","22","139615","0.0-22.0","","img/set1/S3.jpg","74","3","random","72","random,structured_load,structured_incentive,structured_normal","2,3,2,1,3,4","false","",""
"null","","html-keyboard-response","23","139981","0.0-23.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","",""
"null","","html-keyboard-response","24","140183","0.0-24.0","","","null","","","","","","","",""
"696","","image-keyboard-response","25","140880","0.0-25.0","","img/set1/S3.jpg","72","3","random","72","random,structured_load,structured_incentive,structured_normal","2,3,2,1,3,4","true","",""
"null","","html-keyboard-response","26","141240","0.0-26.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","",""
"null","","html-keyboard-response","27","141445","0.0-27.0","","","null","","","","","","","",""
