"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","order_freq","correct","responses","question_order","bonus"
"3241","consent.html","external-html","0","3974","0.0-0.0","39L1G8WVWRD7281QDLQ15V6Q0LU31Q","A2KLJKDG90K1PP","3M67TQBQQHANPE5CZBF2IQ6TWABA9O","","","","","","","","","","","","",""
"294591.2999999523","","instructions","1","298567","0.0-1.0","39L1G8WVWRD7281QDLQ15V6Q0LU31Q","A2KLJKDG90K1PP","3M67TQBQQHANPE5CZBF2IQ6TWABA9O","[{""page_index"":0,""viewing_time"":3701},{""page_index"":1,""viewing_time"":14961.699999809265},{""page_index"":2,""viewing_time"":109690.60000014305},{""page_index"":3,""viewing_time"":11995.099999904633},{""page_index"":4,""viewing_time"":132842.79999995232},{""page_index"":5,""viewing_time"":10035.100000143051},{""page_index"":6,""viewing_time"":11364.099999904633}]","","","","","","","","","","","",""
"5466.299999952316","","instructions","2","304036","0.0-2.0","39L1G8WVWRD7281QDLQ15V6Q0LU31Q","A2KLJKDG90K1PP","3M67TQBQQHANPE5CZBF2IQ6TWABA9O","[{""page_index"":0,""viewing_time"":5466.099999904633}]","","","","","","","","","","","",""
"124878.79999995232","","instructions","3","428915","0.0-3.0","39L1G8WVWRD7281QDLQ15V6Q0LU31Q","A2KLJKDG90K1PP","3M67TQBQQHANPE5CZBF2IQ6TWABA9O","[{""page_index"":0,""viewing_time"":116915.40000009537},{""page_index"":1,""viewing_time"":7963.099999904633}]","","","","","","","","","","","",""
"2250","","image-keyboard-response","4","431167","0.0-4.0","39L1G8WVWRD7281QDLQ15V6Q0LU31Q","A2KLJKDG90K1PP","3M67TQBQQHANPE5CZBF2IQ6TWABA9O","","img/set1/S4.jpg","83","4","structured_incentive","74","structured_incentive,random,structured_normal,structured_load","2,3,4,2,1,2","1,2,3,4","false","","",""
"null","","html-keyboard-response","5","431521","0.0-5.0","39L1G8WVWRD7281QDLQ15V6Q0LU31Q","A2KLJKDG90K1PP","3M67TQBQQHANPE5CZBF2IQ6TWABA9O","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","6","431723","0.0-6.0","39L1G8WVWRD7281QDLQ15V6Q0LU31Q","A2KLJKDG90K1PP","3M67TQBQQHANPE5CZBF2IQ6TWABA9O","","","null","","","","","","","","","",""
"null","","image-keyboard-response","7","434224","0.0-7.0","39L1G8WVWRD7281QDLQ15V6Q0LU31Q","A2KLJKDG90K1PP","3M67TQBQQHANPE5CZBF2IQ6TWABA9O","","img/set1/S2.jpg","null","2","structured_incentive","68","structured_incentive,random,structured_normal,structured_load","2,3,4,2,1,2","1,2,3,4","false","","",""
"null","","html-keyboard-response","8","434577","0.0-8.0","39L1G8WVWRD7281QDLQ15V6Q0LU31Q","A2KLJKDG90K1PP","3M67TQBQQHANPE5CZBF2IQ6TWABA9O","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","9","434778","0.0-9.0","39L1G8WVWRD7281QDLQ15V6Q0LU31Q","A2KLJKDG90K1PP","3M67TQBQQHANPE5CZBF2IQ6TWABA9O","","","null","","","","","","","","","",""
"681.3999998569489","","image-keyboard-response","10","435460","0.0-10.0","39L1G8WVWRD7281QDLQ15V6Q0LU31Q","A2KLJKDG90K1PP","3M67TQBQQHANPE5CZBF2IQ6TWABA9O","","img/set1/S3.jpg","72","3","structured_incentive","72","structured_incentive,random,structured_normal,structured_load","2,3,4,2,1,2","1,2,3,4","true","","",""
"null","","html-keyboard-response","11","435813","0.0-11.0","39L1G8WVWRD7281QDLQ15V6Q0LU31Q","A2KLJKDG90K1PP","3M67TQBQQHANPE5CZBF2IQ6TWABA9O","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","12","436016","0.0-12.0","39L1G8WVWRD7281QDLQ15V6Q0LU31Q","A2KLJKDG90K1PP","3M67TQBQQHANPE5CZBF2IQ6TWABA9O","","","null","","","","","","","","","",""
"577","","image-keyboard-response","13","436594","0.0-13.0","39L1G8WVWRD7281QDLQ15V6Q0LU31Q","A2KLJKDG90K1PP","3M67TQBQQHANPE5CZBF2IQ6TWABA9O","","img/set1/S2.jpg","72","2","structured_incentive","68","structured_incentive,random,structured_normal,structured_load","2,3,4,2,1,2","1,2,3,4","false","","",""
"null","","html-keyboard-response","14","436946","0.0-14.0","39L1G8WVWRD7281QDLQ15V6Q0LU31Q","A2KLJKDG90K1PP","3M67TQBQQHANPE5CZBF2IQ6TWABA9O","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","15","437149","0.0-15.0","39L1G8WVWRD7281QDLQ15V6Q0LU31Q","A2KLJKDG90K1PP","3M67TQBQQHANPE5CZBF2IQ6TWABA9O","","","null","","","","","","","","","",""
"524.6000001430511","","image-keyboard-response","16","437675","0.0-16.0","39L1G8WVWRD7281QDLQ15V6Q0LU31Q","A2KLJKDG90K1PP","3M67TQBQQHANPE5CZBF2IQ6TWABA9O","","img/set1/S3.jpg","74","3","structured_incentive","72","structured_incentive,random,structured_normal,structured_load","2,3,4,2,1,2","1,2,3,4","false","","",""
