"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","order_freq","correct","responses","question_order","bonus"
"204026","consent.html","external-html","0","204110","0.0-0.0","37UQDCYH6YH5P3IBMBDGP0PMTO5V7N","AAF1SJ9FCBF75","388CL5C1RJ9X03EZUESK4LKS9TSHL1","","","","","","","","","","","","",""
"217096","","instructions","1","421209","0.0-1.0","37UQDCYH6YH5P3IBMBDGP0PMTO5V7N","AAF1SJ9FCBF75","388CL5C1RJ9X03EZUESK4LKS9TSHL1","[{""page_index"":0,""viewing_time"":98186},{""page_index"":1,""viewing_time"":8823},{""page_index"":2,""viewing_time"":13929},{""page_index"":3,""viewing_time"":51086},{""page_index"":4,""viewing_time"":10577},{""page_index"":5,""viewing_time"":21119},{""page_index"":6,""viewing_time"":13376}]","","","","","","","","","","","",""
"14311","","instructions","2","435521","0.0-2.0","37UQDCYH6YH5P3IBMBDGP0PMTO5V7N","AAF1SJ9FCBF75","388CL5C1RJ9X03EZUESK4LKS9TSHL1","[{""page_index"":0,""viewing_time"":14311}]","","","","","","","","","","","",""
"10087","","instructions","3","445609","0.0-3.0","37UQDCYH6YH5P3IBMBDGP0PMTO5V7N","AAF1SJ9FCBF75","388CL5C1RJ9X03EZUESK4LKS9TSHL1","[{""page_index"":0,""viewing_time"":10087}]","","","","","","","","","","","",""
"null","","image-keyboard-response","4","448112","0.0-4.0","37UQDCYH6YH5P3IBMBDGP0PMTO5V7N","AAF1SJ9FCBF75","388CL5C1RJ9X03EZUESK4LKS9TSHL1","","img/set1/S4.jpg","null","4","structured_normal","74","structured_normal,structured_incentive,structured_load,random","2,1,3,4,2,3","1,4,3,2","false","","",""
"null","","html-keyboard-response","5","448464","0.0-5.0","37UQDCYH6YH5P3IBMBDGP0PMTO5V7N","AAF1SJ9FCBF75","388CL5C1RJ9X03EZUESK4LKS9TSHL1","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","6","448664","0.0-6.0","37UQDCYH6YH5P3IBMBDGP0PMTO5V7N","AAF1SJ9FCBF75","388CL5C1RJ9X03EZUESK4LKS9TSHL1","","","null","","","","","","","","","",""
"1880","","image-keyboard-response","7","450545","0.0-7.0","37UQDCYH6YH5P3IBMBDGP0PMTO5V7N","AAF1SJ9FCBF75","388CL5C1RJ9X03EZUESK4LKS9TSHL1","","img/set1/S2.jpg","68","2","structured_normal","68","structured_normal,structured_incentive,structured_load,random","2,1,3,4,2,3","1,4,3,2","true","","",""
"null","","html-keyboard-response","8","450896","0.0-8.0","37UQDCYH6YH5P3IBMBDGP0PMTO5V7N","AAF1SJ9FCBF75","388CL5C1RJ9X03EZUESK4LKS9TSHL1","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","9","451097","0.0-9.0","37UQDCYH6YH5P3IBMBDGP0PMTO5V7N","AAF1SJ9FCBF75","388CL5C1RJ9X03EZUESK4LKS9TSHL1","","","null","","","","","","","","","",""
