"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","correct","responses","question_order","bonus"
"5075.4000000059605","consent.html","external-html","0","5115","0.0-0.0","","","","","","","","","","","",""
"8243.79999999702","","instructions","1","13360","0.0-1.0","[{""page_index"":0,""viewing_time"":1178.2999999970198},{""page_index"":1,""viewing_time"":719.7999999970198},{""page_index"":2,""viewing_time"":675.1000000089407},{""page_index"":3,""viewing_time"":2047.5999999940395},{""page_index"":4,""viewing_time"":978.5},{""page_index"":5,""viewing_time"":1597.2999999970198},{""page_index"":6,""viewing_time"":1046.4000000059605}]","","","","","","","","","","",""
"1854.0999999940395","","instructions","2","15215","0.0-2.0","[{""page_index"":0,""viewing_time"":1853.8999999910593}]","","","","","","","","","","",""
"2249.2000000029802","","instructions","3","17465","0.0-3.0","[{""page_index"":0,""viewing_time"":2249}]","","","","","","","","","","",""
"1279.1000000089407","","image-keyboard-response","4","18745","0.0-4.0","","img/set1/S3.jpg","74","3","random","72","random,structured_incentive,structured_load,structured_normal","2,3,3,4,2,1","false","","",""
"null","","html-keyboard-response","5","19098","0.0-5.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","6","19304","0.0-6.0","","","null","","","","","","","","",""
"564.4000000059605","","image-keyboard-response","7","19870","0.0-7.0","","img/set1/S3.jpg","68","3","random","72","random,structured_incentive,structured_load,structured_normal","2,3,3,4,2,1","false","","",""
"null","","html-keyboard-response","8","20227","0.0-8.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","9","20432","0.0-9.0","","","null","","","","","","","","",""
"550.5999999940395","","image-keyboard-response","10","20984","0.0-10.0","","img/set1/S4.jpg","83","4","random","74","random,structured_incentive,structured_load,structured_normal","2,3,3,4,2,1","false","","",""
"null","","html-keyboard-response","11","21336","0.0-11.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","12","21539","0.0-12.0","","","null","","","","","","","","",""
"478.29999999701977","","image-keyboard-response","13","22018","0.0-13.0","","img/set1/S4.jpg","74","4","random","74","random,structured_incentive,structured_load,structured_normal","2,3,3,4,2,1","true","","",""
"null","","html-keyboard-response","14","22372","0.0-14.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","15","22577","0.0-15.0","","","null","","","","","","","","",""
"902.7000000029802","","image-keyboard-response","16","23481","0.0-16.0","","img/set1/S1.jpg","83","1","random","83","random,structured_incentive,structured_load,structured_normal","2,3,3,4,2,1","true","","",""
"null","","html-keyboard-response","17","23835","0.0-17.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","18","24038","0.0-18.0","","","null","","","","","","","","",""
"735.2999999970198","","image-keyboard-response","19","24775","0.0-19.0","","img/set1/S1.jpg","83","1","random","83","random,structured_incentive,structured_load,structured_normal","2,3,3,4,2,1","true","","",""
"null","","html-keyboard-response","20","25130","0.0-20.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","21","25335","0.0-21.0","","","null","","","","","","","","",""
"788.8000000119209","","image-keyboard-response","22","26124","0.0-22.0","","img/set1/S2.jpg","68","2","random","68","random,structured_incentive,structured_load,structured_normal","2,3,3,4,2,1","true","","",""
"null","","html-keyboard-response","23","26481","0.0-23.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","24","26686","0.0-24.0","","","null","","","","","","","","",""
"697.4000000059605","","image-keyboard-response","25","27384","0.0-25.0","","img/set1/S1.jpg","83","1","random","83","random,structured_incentive,structured_load,structured_normal","2,3,3,4,2,1","true","","",""
"null","","html-keyboard-response","26","27736","0.0-26.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","27","27939","0.0-27.0","","","null","","","","","","","","",""
"974.7000000029802","","image-keyboard-response","28","28914","0.0-28.0","","img/set1/S3.jpg","74","3","random","72","random,structured_incentive,structured_load,structured_normal","2,3,3,4,2,1","false","","",""
"null","","html-keyboard-response","29","29270","0.0-29.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","30","29474","0.0-30.0","","","null","","","","","","","","",""
"609.2999999970198","","image-keyboard-response","31","30084","0.0-31.0","","img/set1/S1.jpg","83","1","random","83","random,structured_incentive,structured_load,structured_normal","2,3,3,4,2,1","true","","",""
"null","","html-keyboard-response","32","30439","0.0-32.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","33","30639","0.0-33.0","","","null","","","","","","","","",""
"501.59999999403954","","image-keyboard-response","34","31142","0.0-34.0","","img/set1/S3.jpg","72","3","random","72","random,structured_incentive,structured_load,structured_normal","2,3,3,4,2,1","true","","",""
