"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","order_freq","correct","responses","question_order","bonus"
"3126.5999999940395","consent.html","external-html","0","3198","0.0-0.0","","","","","","","","","","","","",""
"202092.09999999404","","instructions","1","205291","0.0-1.0","[{""page_index"":0,""viewing_time"":8114.0999999940395},{""page_index"":1,""viewing_time"":5543.5},{""page_index"":2,""viewing_time"":4144},{""page_index"":3,""viewing_time"":162493.90000000596},{""page_index"":4,""viewing_time"":4224.199999988079},{""page_index"":5,""viewing_time"":8601.70000000298},{""page_index"":6,""viewing_time"":8970.10000000894}]","","","","","","","","","","","",""
"13303.29999999702","","instructions","2","218594","0.0-2.0","[{""page_index"":0,""viewing_time"":13303.09999999404}]","","","","","","","","","","","",""
"9681.09999999404","","instructions","3","228276","0.0-3.0","[{""page_index"":0,""viewing_time"":7903.0999999940395},{""page_index"":1,""viewing_time"":1777.800000011921}]","","","","","","","","","","","",""
"null","","image-keyboard-response","4","230785","0.0-4.0","","img/set1/S1.jpg","null","1","structured_load","83","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","5","231147","0.0-5.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","6","231353","0.0-6.0","","","null","","","","","","","","","",""
"2154.300000011921","","image-keyboard-response","7","233510","0.0-7.0","","img/set1/S1.jpg","83","1","structured_load","83","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","true","","",""
"null","","html-keyboard-response","8","233877","0.0-8.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","9","234082","0.0-9.0","","","null","","","","","","","","","",""
"448","","image-keyboard-response","10","234531","0.0-10.0","","img/set1/S1.jpg","83","1","structured_load","83","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","true","","",""
"null","","html-keyboard-response","11","234885","0.0-11.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","12","235090","0.0-12.0","","","null","","","","","","","","","",""
"191.29999999701977","","image-keyboard-response","13","235282","0.0-13.0","","img/set1/S4.jpg","83","4","structured_load","74","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","14","235641","0.0-14.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","15","235846","0.0-15.0","","","null","","","","","","","","","",""
"50.20000000298023","","image-keyboard-response","16","235898","0.0-16.0","","img/set1/S4.jpg","72","4","structured_load","74","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","17","236256","0.0-17.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","18","236460","0.0-18.0","","","null","","","","","","","","","",""
"333.3999999910593","","image-keyboard-response","19","236795","0.0-19.0","","img/set1/S4.jpg","74","4","structured_load","74","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","true","","",""
"null","","html-keyboard-response","20","237149","0.0-20.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","21","237353","0.0-21.0","","","null","","","","","","","","","",""
"144.20000000298023","","image-keyboard-response","22","237498","0.0-22.0","","img/set1/S1.jpg","74","1","structured_load","83","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","23","237853","0.0-23.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","24","238059","0.0-24.0","","","null","","","","","","","","","",""
"180.8999999910593","","image-keyboard-response","25","238242","0.0-25.0","","img/set1/S4.jpg","72","4","structured_load","74","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","26","238602","0.0-26.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","27","238812","0.0-27.0","","","null","","","","","","","","","",""
"92.5","","image-keyboard-response","28","238906","0.0-28.0","","img/set1/S2.jpg","83","2","structured_load","68","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","29","239271","0.0-29.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","30","239487","0.0-30.0","","","null","","","","","","","","","",""
"3","","image-keyboard-response","31","239492","0.0-31.0","","img/set1/S3.jpg","68","3","structured_load","72","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","32","239851","0.0-32.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","33","240059","0.0-33.0","","","null","","","","","","","","","",""
"117.8999999910593","","image-keyboard-response","34","240178","0.0-34.0","","img/set1/S1.jpg","83","1","structured_load","83","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","true","","",""
"null","","html-keyboard-response","35","240532","0.0-35.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","36","240737","0.0-36.0","","","null","","","","","","","","","",""
"95.3999999910593","","image-keyboard-response","37","240833","0.0-37.0","","img/set1/S4.jpg","68","4","structured_load","74","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","38","241189","0.0-38.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","39","241395","0.0-39.0","","","null","","","","","","","","","",""
"46.400000005960464","","image-keyboard-response","40","241443","0.0-40.0","","img/set1/S2.jpg","72","2","structured_load","68","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","41","241801","0.0-41.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","42","242005","0.0-42.0","","","null","","","","","","","","","",""
"83.8999999910593","","image-keyboard-response","43","242092","0.0-43.0","","img/set1/S3.jpg","83","3","structured_load","72","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","44","242447","0.0-44.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","45","242650","0.0-45.0","","","null","","","","","","","","","",""
"7.399999991059303","","image-keyboard-response","46","242659","0.0-46.0","","img/set1/S2.jpg","83","2","structured_load","68","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","47","243025","0.0-47.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","48","243226","0.0-48.0","","","null","","","","","","","","","",""
"128.29999999701977","","image-keyboard-response","49","243356","0.0-49.0","","img/set1/S3.jpg","72","3","structured_load","72","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","true","","",""
"null","","html-keyboard-response","50","243714","0.0-50.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","51","243918","0.0-51.0","","","null","","","","","","","","","",""
"130.70000000298023","","image-keyboard-response","52","244049","0.0-52.0","","img/set1/S2.jpg","72","2","structured_load","68","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","53","244408","0.0-53.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","54","244611","0.0-54.0","","","null","","","","","","","","","",""
"85.8999999910593","","image-keyboard-response","55","244699","0.0-55.0","","img/set1/S3.jpg","68","3","structured_load","72","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","56","245056","0.0-56.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","57","245259","0.0-57.0","","","null","","","","","","","","","",""
"62.5","","image-keyboard-response","58","245324","0.0-58.0","","img/set1/S1.jpg","74","1","structured_load","83","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","59","245686","0.0-59.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","60","245889","0.0-60.0","","","null","","","","","","","","","",""
"110.90000000596046","","image-keyboard-response","61","246001","0.0-61.0","","img/set1/S1.jpg","74","1","structured_load","83","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","62","246360","0.0-62.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","63","246562","0.0-63.0","","","null","","","","","","","","","",""
"55.400000005960464","","image-keyboard-response","64","246618","0.0-64.0","","img/set1/S2.jpg","68","2","structured_load","68","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","true","","",""
"null","","html-keyboard-response","65","246970","0.0-65.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","66","247174","0.0-66.0","","","null","","","","","","","","","",""
"114.59999999403954","","image-keyboard-response","67","247289","0.0-67.0","","img/set1/S3.jpg","72","3","structured_load","72","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","true","","",""
"null","","html-keyboard-response","68","247644","0.0-68.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","69","247847","0.0-69.0","","","null","","","","","","","","","",""
"126.20000000298023","","image-keyboard-response","70","247978","0.0-70.0","","img/set1/S4.jpg","72","4","structured_load","74","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","71","248331","0.0-71.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","72","248536","0.0-72.0","","","null","","","","","","","","","",""
"224.40000000596046","","image-keyboard-response","73","248761","0.0-73.0","","img/set1/S2.jpg","68","2","structured_load","68","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","true","","",""
"null","","html-keyboard-response","74","249128","0.0-74.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","75","249331","0.0-75.0","","","null","","","","","","","","","",""
"558.1000000089407","","image-keyboard-response","76","249890","0.0-76.0","","img/set1/S3.jpg","72","3","structured_load","72","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","true","","",""
"null","","html-keyboard-response","77","250241","0.0-77.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","78","250443","0.0-78.0","","","null","","","","","","","","","",""
"429.59999999403954","","image-keyboard-response","79","250874","0.0-79.0","","img/set1/S1.jpg","72","1","structured_load","83","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","80","251227","0.0-80.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","81","251432","0.0-81.0","","","null","","","","","","","","","",""
"639.8999999910593","","image-keyboard-response","82","252073","0.0-82.0","","img/set1/S2.jpg","68","2","structured_load","68","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","true","","",""
"null","","html-keyboard-response","83","252434","0.0-83.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","84","252639","0.0-84.0","","","null","","","","","","","","","",""
"744.2999999970198","","image-keyboard-response","85","253385","0.0-85.0","","img/set1/S3.jpg","74","3","structured_load","72","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","86","253745","0.0-86.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","87","253948","0.0-87.0","","","null","","","","","","","","","",""
"381.8999999910593","","image-keyboard-response","88","254331","0.0-88.0","","img/set1/S2.jpg","74","2","structured_load","68","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","89","254689","0.0-89.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","90","254894","0.0-90.0","","","null","","","","","","","","","",""
"203.09999999403954","","image-keyboard-response","91","255098","0.0-91.0","","img/set1/S3.jpg","83","3","structured_load","72","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","92","255459","0.0-92.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","93","255662","0.0-93.0","","","null","","","","","","","","","",""
"395.20000000298023","","image-keyboard-response","94","256059","0.0-94.0","","img/set1/S2.jpg","83","2","structured_load","68","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","95","256416","0.0-95.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","96","256622","0.0-96.0","","","null","","","","","","","","","",""
"355.40000000596046","","image-keyboard-response","97","256979","0.0-97.0","","img/set1/S3.jpg","68","3","structured_load","72","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","98","257344","0.0-98.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","99","257551","0.0-99.0","","","null","","","","","","","","","",""
"354","","image-keyboard-response","100","257906","0.0-100.0","","img/set1/S1.jpg","72","1","structured_load","83","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","101","258272","0.0-101.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","102","258474","0.0-102.0","","","null","","","","","","","","","",""
"576","","image-keyboard-response","103","259051","0.0-103.0","","img/set1/S1.jpg","72","1","structured_load","83","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","104","259420","0.0-104.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","105","259624","0.0-105.0","","","null","","","","","","","","","",""
"737.2999999970198","","image-keyboard-response","106","260363","0.0-106.0","","img/set1/S2.jpg","74","2","structured_load","68","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","107","260729","0.0-107.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","108","260934","0.0-108.0","","","null","","","","","","","","","",""
"978.8999999910593","","image-keyboard-response","109","261913","0.0-109.0","","img/set1/S3.jpg","72","3","structured_load","72","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","true","","",""
"null","","html-keyboard-response","110","262278","0.0-110.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","111","262481","0.0-111.0","","","null","","","","","","","","","",""
"1608.5","","image-keyboard-response","112","264091","0.0-112.0","","img/set1/S4.jpg","83","4","structured_load","74","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","113","264457","0.0-113.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","114","264658","0.0-114.0","","","null","","","","","","","","","",""
"973.8999999910593","","image-keyboard-response","115","265633","0.0-115.0","","img/set1/S2.jpg","83","2","structured_load","68","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","116","265991","0.0-116.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","117","266195","0.0-117.0","","","null","","","","","","","","","",""
"101.70000000298023","","image-keyboard-response","118","266299","0.0-118.0","","img/set1/S3.jpg","68","3","structured_load","72","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","119","266662","0.0-119.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","120","266870","0.0-120.0","","","null","","","","","","","","","",""
"628.0999999940395","","image-keyboard-response","121","267499","0.0-121.0","","img/set1/S4.jpg","83","4","structured_load","74","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","122","267859","0.0-122.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","123","268062","0.0-123.0","","","null","","","","","","","","","",""
"563.7000000029802","","image-keyboard-response","124","268627","0.0-124.0","","img/set1/S1.jpg","68","1","structured_load","83","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","125","268992","0.0-125.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","126","269195","0.0-126.0","","","null","","","","","","","","","",""
"748.5","","image-keyboard-response","127","269945","0.0-127.0","","img/set1/S2.jpg","83","2","structured_load","68","structured_load,random,structured_normal,structured_incentive","2,3,3,4,2,1","1,2,4,3","false","","",""
"null","","html-keyboard-response","128","270297","0.0-128.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","129","270500","0.0-129.0","","","null","","","","","","","","","",""
