rt,url,trial_type,trial_index,time_elapsed,internal_node_id,assignmentID,mturkID,hitID,view_history,stimulus,key_press,state,test_part,correct_response,order_block,order_chunk,correct,bonus,responses
1598,,image-keyboard-response,523,335034,0.0-523.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,img/set1/S3.jpg,72,3,structured_normal,72,"structured_normal,structured_incentive,random","1,2,2,3",TRUE,,
null,,html-keyboard-response,524,335385,0.0-524.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,"<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">",null,,,,,,,,
null,,html-keyboard-response,525,335601,0.0-525.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,,null,,,,,,,,
640,,image-keyboard-response,526,336242,0.0-526.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,img/set1/S4.jpg,74,4,structured_normal,74,"structured_normal,structured_incentive,random","1,2,2,3",TRUE,,
null,,html-keyboard-response,527,336594,0.0-527.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,"<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">",null,,,,,,,,
null,,html-keyboard-response,528,336799,0.0-528.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,,null,,,,,,,,
662,,image-keyboard-response,529,337462,0.0-529.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,img/set1/S3.jpg,72,3,structured_normal,72,"structured_normal,structured_incentive,random","1,2,2,3",TRUE,,
null,,html-keyboard-response,530,337824,0.0-530.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,"<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">",null,,,,,,,,
null,,html-keyboard-response,531,338027,0.0-531.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,,null,,,,,,,,
422,,image-keyboard-response,532,338449,0.0-532.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,img/set1/S3.jpg,72,3,structured_normal,72,"structured_normal,structured_incentive,random","1,2,2,3",TRUE,,
null,,html-keyboard-response,533,338814,0.0-533.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,"<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">",null,,,,,,,,
null,,html-keyboard-response,534,339015,0.0-534.0,3NKQQ8O39ZRLTXUL8Y6XT6XZ3RVUDM,A2TLN8489YGY81,30OITAWPBQP2Z1DQ5HPUZCTXABIH90,,,null,,,,,,,,
