"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","correct","bonus","responses"
"4673.899999976158","consent.html","external-html","0","4774","0.0-0.0","","","","","","","","",""
"852265.3000000119","","instructions","1","857042","0.0-1.0","[{""page_index"":0,""viewing_time"":1617.7000000476837},{""page_index"":1,""viewing_time"":842},{""page_index"":2,""viewing_time"":449.69999998807907},{""page_index"":3,""viewing_time"":825413.3999999762},{""page_index"":4,""viewing_time"":5030},{""page_index"":5,""viewing_time"":14582},{""page_index"":6,""viewing_time"":2150},{""page_index"":7,""viewing_time"":2179.900000035763}]","","","","","","","",""
"1810.300000011921","","image-keyboard-response","2","858854","0.0-2.0","","img/nature/S2.jpg","50","2","Ns4,train","50","true","",""
"null","","html-keyboard-response","3","859217","0.0-3.0","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","4","859423","0.0-4.0","","","null","","","","","",""
"861.1999999880791","","image-keyboard-response","5","860286","0.0-5.0","","img/nature/S1.jpg","49","1","Ns4,train","49","true","",""
"null","","html-keyboard-response","6","860643","0.0-6.0","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","7","860848","0.0-7.0","","","null","","","","","",""
"581.0999999642372","","image-keyboard-response","8","861430","0.0-8.0","","img/nature/S2.jpg","50","2","Ns4,train","50","true","",""
"null","","html-keyboard-response","9","861785","0.0-9.0","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","10","861990","0.0-10.0","","","null","","","","","",""
"510.30000001192093","","image-keyboard-response","11","862501","0.0-11.0","","img/nature/S1.jpg","49","1","Ns4,train","49","true","",""
"null","","html-keyboard-response","12","862863","0.0-12.0","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","13","863068","0.0-13.0","","","null","","","","","",""
"680.5","","image-keyboard-response","14","863750","0.0-14.0","","img/nature/S3.jpg","51","3","Ns4,train","51","true","",""
"null","","html-keyboard-response","15","864107","0.0-15.0","","<img src=""img/nature/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","16","864313","0.0-16.0","","","null","","","","","",""
"460.2000000476837","","image-keyboard-response","17","864773","0.0-17.0","","img/nature/S3.jpg","51","3","Ns4,train","51","true","",""
"null","","html-keyboard-response","18","865137","0.0-18.0","","<img src=""img/nature/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","19","865343","0.0-19.0","","","null","","","","","",""
"701.8999999761581","","image-keyboard-response","20","866045","0.0-20.0","","img/nature/S2.jpg","50","2","Ns4,train","50","true","",""
"null","","html-keyboard-response","21","866405","0.0-21.0","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","22","866608","0.0-22.0","","","null","","","","","",""
"500.39999997615814","","image-keyboard-response","23","867109","0.0-23.0","","img/nature/S1.jpg","49","1","Ns4,train","49","true","",""
"null","","html-keyboard-response","24","867466","0.0-24.0","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","25","867672","0.0-25.0","","","null","","","","","",""
"509.30000001192093","","image-keyboard-response","26","868181","0.0-26.0","","img/nature/S2.jpg","50","2","Ns4,train","50","true","",""
"null","","html-keyboard-response","27","868543","0.0-27.0","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","28","868749","0.0-28.0","","","null","","","","","",""
"632","","image-keyboard-response","29","869381","0.0-29.0","","img/nature/S1.jpg","49","1","Ns4,train","49","true","",""
"null","","html-keyboard-response","30","869745","0.0-30.0","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","31","869950","0.0-31.0","","","null","","","","","",""
"622.8000000119209","","image-keyboard-response","32","870573","0.0-32.0","","img/nature/S4.jpg","52","4","Ns4,train","52","true","",""
"null","","html-keyboard-response","33","870934","0.0-33.0","","<img src=""img/nature/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","34","871140","0.0-34.0","","","null","","","","","",""
"457","","image-keyboard-response","35","871597","0.0-35.0","","img/nature/S4.jpg","52","4","Ns4,train","52","true","",""
"null","","html-keyboard-response","36","871964","0.0-36.0","","<img src=""img/nature/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","37","872169","0.0-37.0","","","null","","","","","",""
"531.5","","image-keyboard-response","38","872701","0.0-38.0","","img/nature/S2.jpg","50","2","Ns4,train","50","true","",""
"null","","html-keyboard-response","39","873057","0.0-39.0","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","40","873261","0.0-40.0","","","null","","","","","",""
"687.5","","image-keyboard-response","41","873950","0.0-41.0","","img/nature/S1.jpg","49","1","Ns4,train","49","true","",""
"null","","html-keyboard-response","42","874306","0.0-42.0","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","43","874510","0.0-43.0","","","null","","","","","",""
"510.60000002384186","","image-keyboard-response","44","875021","0.0-44.0","","img/nature/S2.jpg","50","2","Ns4,train","50","true","",""
"null","","html-keyboard-response","45","875385","0.0-45.0","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","46","875586","0.0-46.0","","","null","","","","","",""
"666.4000000357628","","image-keyboard-response","47","876253","0.0-47.0","","img/nature/S1.jpg","49","1","Ns4,train","49","true","",""
"null","","html-keyboard-response","48","876618","0.0-48.0","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","49","876822","0.0-49.0","","","null","","","","","",""
"599.0999999642372","","image-keyboard-response","50","877421","0.0-50.0","","img/nature/S3.jpg","51","3","Ns4,train","51","true","",""
"null","","html-keyboard-response","51","877774","0.0-51.0","","<img src=""img/nature/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","52","877980","0.0-52.0","","","null","","","","","",""
"537.0999999642372","","image-keyboard-response","53","878518","0.0-53.0","","img/nature/S4.jpg","52","4","Ns4,train","52","true","",""
"null","","html-keyboard-response","54","878869","0.0-54.0","","<img src=""img/nature/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","55","879075","0.0-55.0","","","null","","","","","",""
"442.19999998807907","","image-keyboard-response","56","879517","0.0-56.0","","img/nature/S4.jpg","52","4","Ns4,train","52","true","",""
"null","","html-keyboard-response","57","879872","0.0-57.0","","<img src=""img/nature/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","58","880077","0.0-58.0","","","null","","","","","",""
"391.80000001192093","","image-keyboard-response","59","880470","0.0-59.0","","img/nature/S4.jpg","52","4","Ns4,train","52","true","",""
"null","","html-keyboard-response","60","880823","0.0-60.0","","<img src=""img/nature/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","61","881028","0.0-61.0","","","null","","","","","",""
"624.3000000119209","","image-keyboard-response","62","881653","0.0-62.0","","img/nature/S3.jpg","51","3","Ns4,train","51","true","",""
"null","","html-keyboard-response","63","882005","0.0-63.0","","<img src=""img/nature/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","64","882211","0.0-64.0","","","null","","","","","",""
"537.5","","image-keyboard-response","65","882749","0.0-65.0","","img/nature/S2.jpg","50","2","Ns4,train","50","true","",""
"null","","html-keyboard-response","66","883112","0.0-66.0","","<img src=""img/nature/S2.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","67","883317","0.0-67.0","","","null","","","","","",""
"583.5","","image-keyboard-response","68","883901","0.0-68.0","","img/nature/S1.jpg","49","1","Ns4,train","49","true","",""
"null","","html-keyboard-response","69","884268","0.0-69.0","","<img src=""img/nature/S1.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","70","884471","0.0-70.0","","","null","","","","","",""
"653.6999999880791","","image-keyboard-response","71","885126","0.0-71.0","","img/nature/S4.jpg","52","4","Ns4,train","52","true","",""
"null","","html-keyboard-response","72","885485","0.0-72.0","","<img src=""img/nature/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","73","885691","0.0-73.0","","","null","","","","","",""
"570.3000000119209","","image-keyboard-response","74","886261","0.0-74.0","","img/nature/S3.jpg","51","3","Ns4,train","51","true","",""
"null","","html-keyboard-response","75","886613","0.0-75.0","","<img src=""img/nature/S3.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
"null","","html-keyboard-response","76","886820","0.0-76.0","","","null","","","","","",""
"816.3000000119209","","image-keyboard-response","77","887637","0.0-77.0","","img/nature/S4.jpg","52","4","Ns4,train","52","true","",""
"null","","html-keyboard-response","78","887993","0.0-78.0","","<img src=""img/nature/S4.jpg"" width=""540"" height = ""360"" style=""border:14px solid orange"">","null","","","","","",""
